BIB Nr.;Athlete;Country;Country Code;Birth Year;Date of birth;Personal Best Time;Personal Best Event;PB Year;Distance;Gender;Category;Image;Highlight;Instagram;Bio;Profile URL;Tags
;Bukayaw Malede;Israel;ISR;1997;01.04.1997;1:02:35;Half marathon;2025;21KM;M;International elite;;Israeli long-distance runner with a 1:02:35 half marathon PB.;;Israeli road and marathon runner listed by World Athletics under Bukayawe Malede.;https://worldathletics.org/athletes/israel/bukayawe-malede-14792561;"International;Half marathon"
;Teresa Dinka Welkite;Ethiopia;ETH;2003;28.05.2003;Debut;Half marathon;;21KM;M;International elite;;Marathon debut athlete in the international elite field.;;"Ethiopian athlete listed for the international marathon elite field; no verified marathon PB recorded in the source CSV.";;"International;Half marathon"
;Ejgayehu Taye;Ethiopia;ETH;2000;10.02.2000;1:04:14;Half marathon;2024;21KM;W;International elite;https://media.aws.iaaf.org/athletes/14848746.jpg;World Championships 5 km bronze medallist and fastest PB among listed Riga women.;;Ethiopian distance runner with a 1:04:14 half marathon PB and a World Athletics Road Running Championships 5 km bronze medal in Riga.;https://worldathletics.org/athletes/ethiopia/ejgayehu-taye-14848746;"International;Half marathon"
;Sheila Chepkirui;Kenya;KEN;1990;27.12.1990;1:06:08;Half marathon;2026;21KM;W;International elite;;Kenyan international road runner and major marathon contender.;;"Kenyan distance runner with extensive track and road credentials; listed by World Athletics as Sheila Chepkirui Kiprotich.";https://worldathletics.org/athletes/kenya/sheila-chepkirui-kiprotich-14289156;"International;Half marathon"
;Diniya Abaraya;Ethiopia;ETH;2005;28.11.2005;1:06:28;Half marathon;2026;21KM;W;International elite;https://rimirigamarathon.com/wp-content/uploads/2026/04/diniya-kedir-abaraya.jpg;Top 6 women in the 2026 Riga half marathon field.;;Young Ethiopian road runner with a 1:06:28 half marathon PB from Barcelona 2026.;https://worldathletics.org/athletes/ethiopia/diniya-abaraya-15105333;"International;Half marathon"
;Sewareg Haymanot;Ethiopia;ETH;2006;29.01.2006;1:07:45;Half marathon;2025;21KM;W;International elite;;Ethiopian half marathoner with a 1:07:45 PB.;;Ethiopian road runner listed by World Athletics with international half marathon results.;https://worldathletics.org/athletes/ethiopia/sewareg-haymanot-15209622;"International;Half marathon"
;Stella Chesang;Uganda;UGA;1996;01.12.1996;1:07:59;Half marathon;2024;21KM;W;International elite;https://media.aws.iaaf.org/athletes/14464203.jpg;Ugandan distance star and Commonwealth Games champion.;;Ugandan distance runner, Commonwealth Games 10,000 m champion and national-record-level road athlete.;https://worldathletics.org/athletes/uganda/stella-chesang-14464203;"International;Half marathon"
;Liza Sajn;Slovenia;SLO;2002;05.05.2002;1:10:39;Half marathon;2025;21KM;W;International elite;;Slovenian road and track runner.;;Slovenian distance runner with World Athletics-listed performances over road and track distances.;https://worldathletics.org/athletes/slovenia/liza-ajn-14917501;"International;Half marathon"
;Betelhem Asmare Beyene;Ethiopia;ETH;2005;13.11.2005;1:10:41;Half marathon;2026;21KM;W;International elite;;Ethiopian road runner in the international half marathon field.;;Ethiopian road runner listed by World Athletics as Beyene Betelhem.;https://worldathletics.org/athletes/ethiopia/beyene-betelhem-15221049;"International;Half marathon"
;Liz Romo;Mexico;MEX;1996;27.03.1996;1:14:59;Half marathon;2022;21KM;W;International elite;;Mexican/US-listed road runner with a 1:14:59 half marathon PB.;;Road runner listed by World Athletics with international half marathon results.;https://worldathletics.org/athletes/united-states/liz-romo-14678600;"International;Half marathon"
;Verena Cerna;Germany;GER;1981;;1:18:54;Half marathon;2023;21KM;W;International elite;;German half marathon and marathon runner.;;German masters road runner with World Athletics profile and marathon/half marathon results.;https://worldathletics.org/athletes/germany/verena-cerna-14607556;"International;Half marathon"
;Fikadu Kebebe Debele;Ethiopia;ETH;1986;20.09.1986;2:08:27;Marathon;2019;42KM;M;International elite;;Ethiopian marathoner with a 2:08:27 PB.;;Ethiopian road runner listed by World Athletics as Fikadu Kebede, with a 2:08-level marathon PB.;https://worldathletics.org/athletes/ethiopia/fikadu-kebede-14704866;"International;Marathon"
;Melikhaya Frans;South Africa;RSA;1990;05.02.1990;2:09:24;Marathon;2022;42KM;M;International elite;https://rimirigamarathon.com/wp-content/uploads/2026/04/Melikhaya-Thomas-Frans.jpg;2025 Rimi Riga Marathon winner.;;South African marathoner who won the 2025 Rimi Riga Marathon in 2:13:20.;;"International;Marathon"
;Stephen Kipkemoi Kibor;Kenya;KEN;1997;15.06.1997;2:09:33;Marathon;2025;42KM;M;International elite;;Kenyan marathoner with a 2:09:33 PB.;;Kenyan marathon runner listed by World Athletics with international road results.;https://worldathletics.org/athletes/kenya/stephen-kibor-14762038;"International;Marathon"
;Ashenafi Negese Meka;Ethiopia;ETH;2005;13.05.2005;2:10:38;Marathon;2025;42KM;M;International elite;;Young Ethiopian marathoner in the international elite field.;;Ethiopian marathoner with a 2:10:38 PB in the clean CSV.;;"International;Marathon"
;Getachew Kene Tufa;Ethiopia;ETH;1994;22.09.1994;02:11:50;Marathon;2004;42KM;M;International elite;;Ethiopian marathoner with a 2:11:50 PB.;;Ethiopian road runner listed by World Athletics with marathon credentials.;https://worldathletics.org/athletes/ethiopia/getachew-kene-tufa-14754339;"International;Marathon"
;Gudisa Debela Tereda;Ethiopia;ETH;2004;21.11.2004;2:17:04;Marathon;2025;42KM;M;International elite;;Ethiopian marathoner in the international elite field.;;Ethiopian marathon runner with a 2:17:04 PB in the clean CSV.;;"International;Marathon"
;Vinnie Van Puyvelde;Belgium;BEL;1994;30.03.1994;2:21:24;Marathon;2025;42KM;M;International elite;;Belgian marathoner with a 2:21:24 PB.;;Belgian road runner listed by World Athletics with marathon and road performances.;https://worldathletics.org/athletes/belgium/vinnie-van-puyvelde-14482715;"International;Marathon"
;Titus Kipchumba Kemboi;Kenya;KEN;1998;01.11.1998;Debut;Marathon;;42KM;M;International elite;;Kenyan marathon debut athlete in the international elite field.;;"Kenyan road runner listed by World Athletics; clean CSV marks his marathon as debut.";https://worldathletics.org/athletes/kenya/titus-kipchumba-kemboi-15119717;"International;Marathon"
;Adawork Aberta Sadura;Ethiopia;ETH;1996;28.11.1996;2:23:39;Marathon;2022;42KM;W;International elite;;Ethiopian marathoner with a 2:23:39 PB.;;Ethiopian marathon runner listed by World Athletics with international road results.;https://worldathletics.org/athletes/ethiopia/adawork-aberta-14782804;"International;Marathon"
;Ayantu Kumela;Ethiopia;ETH;1996;14.05.1996;2:24:29;Marathon;2022;42KM;W;International elite;https://rimirigamarathon.com/wp-content/uploads/2026/04/Ayantu-Kumela-Tadesse.jpg;2025 Rimi Riga Marathon women’s winner.;;"Ethiopian marathoner; won the 2025 Rimi Riga Marathon women’s race in 2:28:24.";https://worldathletics.org/athletes/ethiopia/ayantu-kumela-14917771;"International;Marathon"
;Obse Abdeta Deme;Ethiopia;ETH;2000;07.09.2000;2:27:14;Marathon;2023;42KM;W;International elite;;Ethiopian marathoner with a 2:27:14 PB.;;Ethiopian road runner listed by World Athletics across 10 km, half marathon and marathon events.;https://worldathletics.org/athletes/ethiopia/obse-abdeta-14730759;"International;Marathon"
;Naomi Kakoko Limamurei;Kenya;KEN;1994;25.03.1994;2:31:02;Marathon;2025;42KM;W;International elite;;Kenyan marathoner with a 2:31:02 PB.;;Kenyan marathon runner listed by World Athletics as Naomi Kakoko.;https://worldathletics.org/athletes/kenya/naomi-kakoko-14861865;"International;Marathon"
;Noreen Jebichii Kimutai;Kenya;KEN;;;2:38:04;Marathon;2025;42KM;W;International elite;;Kenyan marathoner in the international elite field.;;Kenyan marathon runner with a 2:38:04 PB in the clean CSV.;https://worldathletics.org/athletes/kenya/noreen-kimutai-15222128;"International;Marathon"
;Mabre Haile Degefa;Ethiopia;ETH;1999;31.07.1999;2:38:15;Marathon;2025;42KM;W;International elite;;Ethiopian marathoner in the international elite field.;;Ethiopian marathon runner with a 2:38:15 PB in the clean CSV.;;"International;Marathon"
;Nikita Bogdanovs;Latvia;LAT;2002;02.12.2002;4:13.20;DPD mile;2025;MILE;M;Latvian elite;;National-level Latvian middle-distance runner.;;"Latvian middle-distance runner listed by World Athletics; active in DPD Mile and 10 km elite fields.";https://worldathletics.org/athletes/latvia/nikita-bogdanovs-14924653;"Latvian;DPD mile"
;Arturs Niklāvs Medveds;Latvia;LAT;1999;17.11.1999;4:01.19;DPD mile;2025;MILE;M;Latvian elite;;Latvian national-level distance runner.;;Latvian distance runner listed by World Athletics and named among leading Latvian athletes for Riga.;https://worldathletics.org/athletes/latvia/arturs-niklavs-medveds-14743578;"Latvian;DPD mile"
;Roberts Glazers;Latvia;LAT;2004;26.11.2004;4:16.40;DPD mile;2025;MILE;M;Latvian elite;;Latvian runner and 2025 Riga 5.7 km winner.;;"Latvian runner listed by World Athletics as Roberts Aleksis Glazers; won the 2025 Riga 5.7 km race.";https://worldathletics.org/athletes/latvia/roberts-aleksis-glazers-14988003;"Latvian;DPD mile"
;Rūdolfs Vanadziņš;Latvia;LAT;2007;05.10.2007;4:18.70;DPD mile;2025;MILE;M;Latvian elite;;Latvian junior middle-distance runner.;;Latvian middle-distance runner listed by World Athletics.;https://worldathletics.org/athletes/latvia/rudolfs-vanadzins-15037935;"Latvian;DPD mile"
;Jānis Riekstiņš;Latvia;LAT;2004;19.03.2004;4:18.94;DPD mile;2026;MILE;M;Latvian elite;;Latvian middle-distance runner.;;Latvian athlete listed by the Latvian Athletics Federation and World Athletics results.;;"Latvian;DPD mile"
;Sibilla Vanadziņa;Latvia;LAT;2007;05.10.2007;4:51.67;DPD mile;2025;MILE;W;Latvian elite;;Latvian DPD Mile champion.;;Latvian middle-distance runner and DPD Mile Latvian champion in Riga.;https://worldathletics.org/athletes/latvia/sibilla-vanadzina-14948824;"Latvian;DPD mile"
;Marta Livčāne;Latvia;LAT;2009;;5:13.00;DPD mile;2025;MILE;W;Latvian elite;;Latvian junior runner.;;Latvian junior runner listed by World Athletics.;https://worldathletics.org/athletes/latvia/marta-livcane-15202163;"Latvian;DPD mile"
;Indra Mackeviča;Latvia;LAT;2005;10.10.2005;5:20.00;DPD mile;2023;MILE;W;Latvian elite;;Latvian runner in the DPD Mile field.;;Latvian middle-distance runner listed by World Athletics.;https://worldathletics.org/athletes/latvia/indra-mackevica-14948820;"Latvian;DPD mile"
;Roberts Glazers;Latvia;LAT;2004;26.11.2004;17:29;Rimi Rīgas maratons 2025;2025;6KM;M;Latvian elite;;Latvian runner and 2025 Riga 5.7 km winner.;;"Latvian runner listed by World Athletics as Roberts Aleksis Glazers; won the 2025 Riga 5.7 km race.";https://worldathletics.org/athletes/latvia/roberts-aleksis-glazers-14988003;"Latvian;6 km"
;Lauris Grīniņš;Latvia;LAT;2003;02.09.2003;17:34;Rimi Rīgas maratons 2025;2025;6KM;M;Latvian elite;;Latvian runner and 2025 Riga 5.7 km podium finisher.;;"Latvian road runner listed by World Athletics; finished second in the 2025 Riga 5.7 km race.";https://worldathletics.org/athletes/latvia/lauris-grinins-14985665;"Latvian;6 km"
;Artūrs Madelāns;Latvia;LAT;2010;;19:47;Rimi Rīgas maratons 2025;2025;6KM;M;Latvian elite;;Young Latvian runner in the 6 km elite field.;;Latvian youth runner listed by the Latvian Athletics Federation.;;"Latvian;6 km"
;Sibilla Vanadziņa;Latvia;LAT;2007;05.10.2007;19:30;Rimi Rīgas maratons 2025;2025;6KM;W;Latvian elite;;Latvian DPD Mile champion.;;Latvian middle-distance runner and DPD Mile Latvian champion in Riga.;https://worldathletics.org/athletes/latvia/sibilla-vanadzina-14948824;"Latvian;6 km"
;Marta Livčāne;Latvia;LAT;2009;;20:35;Rimi Rīgas maratons 2025;2025;6KM;W;Latvian elite;;Latvian junior runner.;;Latvian junior runner listed by World Athletics.;https://worldathletics.org/athletes/latvia/marta-livcane-15202163;"Latvian;6 km"
;Artūrs Niklāvs Medveds;Latvia;LAT;1999;17.11.1999;28:27;10 km;2025;10KM;M;Latvian elite;;Latvian national-level distance runner.;;Latvian distance runner listed by World Athletics and named among leading Latvian athletes for Riga.;https://worldathletics.org/athletes/latvia/arturs-niklavs-medveds-14743578;"Latvian;10 km"
;Nikita Bogdanovs;Latvia;LAT;2002;02.12.2002;31:31;10 km;2025;10KM;M;Latvian elite;;National-level Latvian middle-distance runner.;;"Latvian middle-distance runner listed by World Athletics; active in DPD Mile and 10 km elite fields.";https://worldathletics.org/athletes/latvia/nikita-bogdanovs-14924653;"Latvian;10 km"
;Agate Caune;Latvia;LAT;2004;07.08.2004;32:09;10 km;2024;10KM;W;Latvian elite;;Latvian distance star and national record-level road runner.;;Latvian distance runner listed by World Athletics with strong international road and track results.;https://worldathletics.org/athletes/latvia/agate-caune-14852324;"Latvian;10 km"
;Kitija Valtere;Latvia;LAT;1991;27.06.1991;36:16;10 km;2025;10KM;W;Latvian elite;;Latvian road runner and marathon champion.;;Latvian road runner listed by World Athletics, active over 10 km, half marathon and marathon distances.;https://worldathletics.org/athletes/latvia/kitija-valtere-14572520;"Latvian;10 km"
;Zanda Malančuka;Latvia;LAT;1988;;1:20:43;Jelgavas Nakts pusmaratons 2025;2025;21KM;W;Latvian elite;;Latvian half marathon elite runner.;;Latvian runner listed by the Latvian Athletics Federation and named in the 2026 Riga Latvian elite half marathon field.;;"Latvian;Half marathon"
;Ilze Jumiķe;Latvia;LAT;2007;;1:20:50;Jelgavas Nakts pusmaratons 2025;2025;21KM;W;Latvian elite;;Latvian junior road runner.;;Latvian junior runner listed by the Latvian Athletics Federation and named among leading Latvian half marathon entrants.;;"Latvian;Half marathon"
;Ieva Moļņika;Latvia;LAT;2004;;1:21:45;Kauņas maratons 2025;2025;21KM;W;Latvian elite;;Latvian half marathon elite runner.;;"Latvian runner listed by the Latvian Athletics Federation; leading Latvian woman in the 2025 Riga half marathon.";;"Latvian;Half marathon"
;Santa Višķere;Latvia;LAT;1992;13.12.1992;1:23:05;Rimi Rīgas maratons 2023;2023;21KM;W;Latvian elite;;Experienced Latvian road runner.;;Latvian athlete and road runner listed by the Latvian Athletics Federation.;;"Latvian;Half marathon"
;Ilona Daģe;Latvia;LAT;1984;;1:23:28;Jelgavas Nakts pusmaratons 2025;2025;21KM;W;Latvian elite;;Latvian half marathon elite runner.;;Latvian runner listed by the Latvian Athletics Federation and named in the 2026 Riga Latvian elite half marathon field.;;"Latvian;Half marathon"
;Helēna Liepiņa;Latvia;LAT;1999;;1:24:49;Porto pusmaratons 2025;2025;21KM;W;Latvian elite;;Latvian half marathon elite runner.;;Latvian runner listed by the Latvian Athletics Federation and named in the 2026 Riga Latvian elite half marathon field.;;"Latvian;Half marathon"
;Māris Ābele;Latvia;LAT;1979;;1:12:47;Rimi Rīgas maratons 2023;2023;21KM;M;Latvian elite;;Experienced Latvian half marathon runner.;;Latvian runner listed by the Latvian Athletics Federation.;;"Latvian;Half marathon"
;Raitis Jirgensons;Latvia;LAT;1984;;1:15:07;Liepājas Vasaras pusmaratons 2025;2025;21KM;M;Latvian elite;;Latvian half marathon elite runner.;;Latvian runner listed by the Latvian Athletics Federation and named in the 2026 Riga Latvian elite half marathon field.;;"Latvian;Half marathon"
;Dmitrijs Vecgailis;Latvia;LAT;1987;;1:16:03;Liepājas Mūzikas pusmaratons 2024;2024;21KM;M;Latvian elite;;Latvian half marathon elite runner.;;Latvian runner listed by the Latvian Athletics Federation and named in the 2026 Riga Latvian elite half marathon field.;;"Latvian;Half marathon"
;Alfrēds Apinis;Latvia;LAT;1999;;2:28:14;Berlīnes maratons 2024;2024;21KM;M;Latvian elite;;Latvian marathon runner.;;Latvian road runner listed by the Latvian Athletics Federation with a 2:28:14 Berlin Marathon result.;;"Latvian;Marathon"
;Kristaps Bērziņš;Latvia;LAT;1992;29.01.1992;2:25:40;Rimi Rīgas maratons 2025;2025;42KM;M;Latvian elite;;Latvia’s 2025 marathon champion in Riga.;;"Latvian marathoner; won the 2025 Latvian Marathon Championship at Rimi Riga Marathon in 2:25:40.";;"Latvian;Marathon"
;Kristaps Vejs-Abolins;Latvia;LAT;1992;06.11.1992;2:26:46;Čikāgas maratons 2025;2025;42KM;M;Latvian elite;;Latvian marathon championship contender.;;"Latvian marathoner and coach, listed by Latvian Athletics and World Athletics results; named among leading Latvian marathon contenders for Riga.";;"Latvian;Marathon"
;Renārs Roze;Latvia;LAT;1986;13.05.1986;2:27:14;Rimi Rīgas maratons 2024;2024;42KM;M;Latvian elite;;Latvian marathon runner.;;Latvian road runner listed by the Latvian Athletics Federation with marathon and half marathon history.;;"Latvian;Marathon"
;Pavel Laputjov;Latvia;LAT;1983;25.08.1983;2:29:51;Rimi Rīgas maratons 2025;2025;42KM;M;Latvian elite;;Latvian marathon runner and coach.;;Latvian marathon runner listed by World Athletics and Latvian Athletics Federation.;https://worldathletics.org/athletes/latvia/pavel-laputjov-15032886;"Latvian;Marathon"
;Anna Kļučņika;Latvia;LAT;1995;;2:48:17;Eiropas čempionāts skriešanā 2025;2025;42KM;W;Latvian elite;;2025 Latvian women’s marathon champion in Riga.;;"Latvian marathoner; won the 2025 Latvian Marathon Championship at Rimi Riga Marathon.";;"Latvian;Marathon"
;Anita Siliņa;Latvia;LAT;1990;;*2:56:41 (2014-2:39:57);Parīzes maratons 2024;2024;42KM;W;Latvian elite;;Experienced Latvian marathoner and coach.;;Latvian long-distance runner and coach listed by the Latvian Athletics Federation.;;"Latvian;Marathon"
;Evelīna Kristiāna Pintāne;Latvia;LAT;;;3:09:30;Rimi Rīgas maratons 2025;2025;42KM;W;Latvian elite;;Latvian marathon runner in the clean elite file.;;"Latvian marathon runner listed in the clean CSV; no reliable public profile found during research.";;"Latvian;Marathon"
;Lauma Izāka;Latvia;LAT;1981;;3:19:14;Frankfurtes maratons 2025;2025;42KM;W;Latvian elite;;Latvian road and trail runner.;;"Latvian road and trail runner listed by the Latvian Athletics Federation; 2026 Rīga–Valmiera winner.";;"Latvian;Marathon"
